Urban rural status,date,N_vaccinated,population,Vaccination rate
Large central metro,2021-12-24,2013933,3361980,59.9032
Large fringe metro,2021-12-24,1439944,2472283,58.2435
Medium metro,2021-12-24,1610815,2998590,53.7191
Micropolitan,2021-12-24,854087,1903516,44.8689
Non-core,2021-12-24,173772,447279,38.8509
Small metro,2021-12-24,219775,491627,44.7036
Large central metro,2021-12-25,2013940,3361980,59.9034
Large fringe metro,2021-12-25,1439946,2472283,58.2436
Medium metro,2021-12-25,1610817,2998590,53.7191
Micropolitan,2021-12-25,854088,1903516,44.869
Non-core,2021-12-25,173772,447279,38.8509
Small metro,2021-12-25,219775,491627,44.7036
Large central metro,2021-12-26,2014576,3361980,59.9223
Large fringe metro,2021-12-26,1440620,2472283,58.2708
Medium metro,2021-12-26,1611578,2998590,53.7445
Micropolitan,2021-12-26,854467,1903516,44.8889
Non-core,2021-12-26,173847,447279,38.8677
Small metro,2021-12-26,219892,491627,44.7274
Large central metro,2021-12-27,2016707,3361980,59.9857
Large fringe metro,2021-12-27,1442205,2472283,58.3349
Medium metro,2021-12-27,1613184,2998590,53.7981
Micropolitan,2021-12-27,855361,1903516,44.9358
Non-core,2021-12-27,174080,447279,38.9198
Small metro,2021-12-27,220104,491627,44.7705
Large central metro,2021-12-28,2018657,3361980,60.0437
Large fringe metro,2021-12-28,1443700,2472283,58.3954
Medium metro,2021-12-28,1615044,2998590,53.8601
Micropolitan,2021-12-28,856276,1903516,44.9839
Non-core,2021-12-28,174291,447279,38.967
Small metro,2021-12-28,220334,491627,44.8173
Large central metro,2021-12-29,2020737,3361980,60.1056
Large fringe metro,2021-12-29,1445183,2472283,58.4554
Medium metro,2021-12-29,1616838,2998590,53.9199
Micropolitan,2021-12-29,857170,1903516,45.0309
Non-core,2021-12-29,174510,447279,39.0159
Small metro,2021-12-29,220607,491627,44.8728
Large central metro,2021-12-30,2022633,3361980,60.162
Large fringe metro,2021-12-30,1446628,2472283,58.5139
Medium metro,2021-12-30,1618471,2998590,53.9744
Micropolitan,2021-12-30,857991,1903516,45.074
Non-core,2021-12-30,174710,447279,39.0606
Small metro,2021-12-30,220867,491627,44.9257
Large central metro,2021-12-31,2023399,3361980,60.1847
Large fringe metro,2021-12-31,1447369,2472283,58.5438
Medium metro,2021-12-31,1619183,2998590,53.9981
Micropolitan,2021-12-31,858386,1903516,45.0948
Non-core,2021-12-31,174790,447279,39.0785
Small metro,2021-12-31,220964,491627,44.9455
